# MERC -- final v1.1 pass, 2026-09-14.
#
# The SAME 100 documents (seed 20260910) re-classified from scratch against
# the final v1.1 taxonomy, i.e. after the 2026-09-11 Hearing Notice / Daily
# Order definition changes were seeded. merc-run-v1_1.log is kept alongside
# this file as the earlier 09-11 pass: that one is the REGRESSED state
# Finding 11 diagnoses (hearing rows titled with the petition drifting to
# Order), and it is not what this repository ships.
#
# 100 classified, 21 flagged, 0 errors. Hearing Notice 43 / Order 25 /
# Daily Order 14 / RTI 8 / Public Notice 5 / Regulations 2 / Press Release 1
# / Report 1 / Minutes of Meeting 1.

﻿=== MERC: seed, reset, re-classify 100 against final v1.1 ===
Seeding MERC taxonomy...
Domain "Electricity" ready (id: cmtvdn4ej0000y4dfakklrhil)
Regulator "MERC" ready (id: cmtvdn50j0001y4dfdcefo9ml)
  Subject: Tariff Determination
  Subject: Renewable Energy & RPO
  Subject: Standards of Performance & Consumer Protection
  Subject: Licensing
  Subject: Regulatory Framework & Rulemaking
  Subject: Competition & Open Access
  Subject: Institutional Governance & Administration
  Subject: Public Information & Transparency
  Subject: Public Communication & Outreach
  Instrument Type: Act
  Instrument Type: Regulations
  Instrument Type: Order
  Instrument Type: Draft Order
  Instrument Type: Corrigendum Order
  Instrument Type: Public Notice / Consultation Notice
  Instrument Type: Press Release
  Instrument Type: Annual Report
  Instrument Type: FAQ
  Instrument Type: RTI Response / Disclosure
  Instrument Type: Hearing Notice
  Instrument Type: Daily Order
  Instrument Type: Report
  Instrument Type: Licence
  Instrument Type: Tender / RFP
  Instrument Type: Notification
  Instrument Type: Minutes of Meeting
  Instrument Type: Recruitment Notice
  Status: In Force
  Status: Draft / Under Consultation
  Status: Superseded
  Status: Amended
  Status: Repealed
  Status: Under Litigation / Stayed
  Status: Not Applicable
MERC taxonomy seed complete.
Deleted 100 update entries and 100 source documents for MERC.
MERC's taxonomy tags were left untouched.
Loaded 20740 normalized MERC documents. Processing a seeded random sample of 100 (seed=20260910).
Sample written to <repo>\scripts\.audit\merc-sample-20260910.json

[auto-accepted] Postponed Notice — Petition of Bhulani Steel against Maharashtra State -> subject=Standards of Performance & Consumer Protection | instrument=Hearing Notice | status=Not Applicable | confidence=0.85
[auto-accepted] RTI Appeal No. 10 of 2017 — Shri. Anil Vedvyas Galgali -> subject=Public Information & Transparency | instrument=RTI Response / Disclosure | status=Not Applicable | confidence=0.90
[FLAGGED] Petition of Guardian Castings Pvt. Ltd. (GCPL) seeking Review under Se -> subject=Tariff Determination | instrument=Hearing Notice | status=Not Applicable | confidence=0.55
[auto-accepted] Miscellaneous Petition of Dhariwal Infrastructure Limited under Sectio -> subject=Tariff Determination | instrument=Hearing Notice | status=Not Applicable | confidence=0.85
[auto-accepted] Daily Order IA. No. 112 of 2025 in Case No. 206 of 2025 Laxmi Organic -> subject=Competition & Open Access | instrument=Daily Order | status=In Force | confidence=0.90
[auto-accepted] RTI Application No. 47/2020 received dated 09.09.2020 — Shri. Rohit Ji -> subject=Public Information & Transparency | instrument=RTI Response / Disclosure | status=Not Applicable | confidence=0.90
[auto-accepted] Petition of Maharashtra State Electricity Distribution Co. Ltd. (MSEDC -> subject=Renewable Energy & RPO | instrument=Order | status=In Force | confidence=0.90
[auto-accepted] Live Streaming Link-after hearing pdf — Petitioner of ReNew Wind Energ -> subject=Renewable Energy & RPO | instrument=Hearing Notice | status=Not Applicable | confidence=0.85
[FLAGGED] Tata Power-T MTR 2025 Petition_Exec Summary-Marathi [Case No. 217 of 2 -> subject=Tariff Determination | instrument=Order | status=In Force | confidence=0.72
[auto-accepted] Live Streaming Link-after hearing pdf — Petition of Maharashtra State  -> subject=Renewable Energy & RPO | instrument=Hearing Notice | status=Not Applicable | confidence=0.85
[auto-accepted] Notice _07.11.2023_Case No. 86 of 2023 -> subject=Competition & Open Access | instrument=Hearing Notice | status=Not Applicable | confidence=0.85
[auto-accepted] RTI Application No. 87/2022 received dated 24.11.2022 — Shri. Ashok Ch -> subject=Public Information & Transparency | instrument=RTI Response / Disclosure | status=Not Applicable | confidence=0.95
[auto-accepted] Case of MITC Rolling Mills Pvt Ltd has Petition against Maharashtra St -> subject=Standards of Performance & Consumer Protection | instrument=Order | status=In Force | confidence=0.85
[auto-accepted] Petition of Cleanmax Enviro Energy Solutions Pvt. Ltd. seeking clarifi -> subject=Competition & Open Access | instrument=Order | status=In Force | confidence=0.85
[auto-accepted] Notice 3 June 2014 24of2014 [Case No. 24 of 2014] -> subject=Competition & Open Access | instrument=Hearing Notice | status=Not Applicable | confidence=0.85
[FLAGGED] Petition of Bothe Windfarm Development Pvt. Ltd. seeking directions ag -> subject=Renewable Energy & RPO | instrument=Hearing Notice | status=Not Applicable | confidence=0.60
[auto-accepted] Postponed Notice — Petition of Maharashtra State Electricity Distribut -> subject=Renewable Energy & RPO | instrument=Hearing Notice | status=Not Applicable | confidence=0.90
[auto-accepted] Inviting Suggestions/Objections on Velgaon Power Transmission Limited’ -> subject=Licensing | instrument=Public Notice / Consultation Notice | status=Not Applicable | confidence=0.85
[auto-accepted] Case No. 98 of 2014 : Complaint of M/s. K. T. Vision & Sons under Sect -> subject=Standards of Performance & Consumer Protection | instrument=Order | status=In Force | confidence=0.85
[auto-accepted] Interlocutory Application of CIE Automotive India Limited and Strongsu -> subject=Competition & Open Access | instrument=Hearing Notice | status=Not Applicable | confidence=0.85
[auto-accepted] Daily Order 222 of 2022 -> subject=Tariff Determination | instrument=Daily Order | status=In Force | confidence=0.95
[auto-accepted] MSEDCL-English — Tariff Revision-MSEDCL with effect from 01 September, -> subject=Tariff Determination | instrument=Press Release | status=Not Applicable | confidence=0.90
[FLAGGED] Executive Summary-English — Inviting Suggestion/ Objection on Petition -> subject=Tariff Determination | instrument=Hearing Notice | status=Not Applicable | confidence=0.60
[auto-accepted] Petition of The Tata Power Company Ltd. for review of Order dated Janu -> subject=Tariff Determination | instrument=Order | status=In Force | confidence=0.90
[auto-accepted] Case of Maharashtra State Electricity Transmission Co. Ltd. seeking re -> subject=Tariff Determination | instrument=Order | status=In Force | confidence=0.85
[auto-accepted] Petition of M/s. Karnataka Resco Rooftop Solar Pvt. Ltd. under Section -> subject=Renewable Energy & RPO | instrument=Hearing Notice | status=Not Applicable | confidence=0.90
[auto-accepted] RTI Application No. 57/2019 received dated 24.06.2019 — Shri Vikran Pr -> subject=Public Information & Transparency | instrument=RTI Response / Disclosure | status=Not Applicable | confidence=0.95
[auto-accepted] Case No. 72 of 2014 & MA NO. 06 of 2014 : Petition & Miscellaneous App -> subject=Competition & Open Access | instrument=Hearing Notice | status=Not Applicable | confidence=0.90
[auto-accepted] The Tata Power Company Limited's Petition for Approval of Capital Cost -> subject=Tariff Determination | instrument=Order | status=In Force | confidence=0.95
[auto-accepted] Inviting Comments on Application of the Adani Electricity Mumbai Ltd.  -> subject=Licensing | instrument=Public Notice / Consultation Notice | status=Not Applicable | confidence=0.85
[auto-accepted] Daily Order in Case No. 22 of 2026 -> subject=Renewable Energy & RPO | instrument=Daily Order | status=In Force | confidence=0.85
[auto-accepted] Petition of RattanIndia Power Ltd. seeking refund of differential amou -> subject=Tariff Determination | instrument=Hearing Notice | status=Not Applicable | confidence=0.90
[auto-accepted] Short term Power Procurement by The Tata Power Company Limited (Distri -> subject=Tariff Determination | instrument=Order | status=In Force | confidence=0.85
[auto-accepted] Interlocutory Application of Hatsun Agro Product Limited seeking urgen -> subject=Competition & Open Access | instrument=Hearing Notice | status=Not Applicable | confidence=0.85
[auto-accepted] Petition of Spectrum Scan Pvt. Ltd., against Maharashtra State Electri -> subject=Standards of Performance & Consumer Protection | instrument=Hearing Notice | status=Not Applicable | confidence=0.90
[auto-accepted] Petition of M/s. NuPower Renewables Pvt. Ltd. (NRPL) under Section 86  -> subject=Renewable Energy & RPO | instrument=Order | status=In Force | confidence=0.85
[auto-accepted] Q3 — SEZ Biotech – 1: Standards of Performance of Distribution License -> subject=Standards of Performance & Consumer Protection | instrument=Report | status=In Force | confidence=0.90
[auto-accepted] Interlocutory Application of Laxmi Organic Industries Limited seeking  -> subject=Standards of Performance & Consumer Protection | instrument=Hearing Notice | status=Not Applicable | confidence=0.85
[auto-accepted] Petition of Shri Sant Gadgebaba Sahakari Sut Girni Ltd. regarding non- -> subject=Standards of Performance & Consumer Protection | instrument=Order | status=In Force | confidence=0.90
[FLAGGED] case 3 of 2004.pdf -> subject=Tariff Determination | instrument=Order | status=In Force | confidence=0.55
[auto-accepted] Petition of Protostar Technologies Private Limited under Section 86(1) -> subject=Renewable Energy & RPO | instrument=Order | status=In Force | confidence=0.85
[auto-accepted] RTI Application No. 43/2024 received dated 03.06.2024 — Shri. Anil P.  -> subject=Public Information & Transparency | instrument=RTI Response / Disclosure | status=Not Applicable | confidence=0.95
[auto-accepted] RTI Application No. 097/2025 received dated 22.08.2025 — Shri. Kamalak -> subject=Public Information & Transparency | instrument=RTI Response / Disclosure | status=Not Applicable | confidence=0.90
[auto-accepted] Interlocutory Application of Pimpri Chinchwad Municipal Corporation se -> subject=Competition & Open Access | instrument=Hearing Notice | status=Not Applicable | confidence=0.95
[auto-accepted] Petition of Adani Energy Mumbai Limited – Distribution for termination -> subject=Competition & Open Access | instrument=Hearing Notice | status=Not Applicable | confidence=0.85
[auto-accepted] NPENTL 52 of 2026 Marathi -> subject=Licensing | instrument=Public Notice / Consultation Notice | status=Not Applicable | confidence=0.85
[FLAGGED] Daily Order 1516279496949 [Case No. 193 of 2017] -> subject=Competition & Open Access | instrument=Daily Order | status=In Force | confidence=0.72
[auto-accepted] Revised Petition of Maharashtra State Electricity Distribution Company -> subject=Tariff Determination | instrument=Hearing Notice | status=Not Applicable | confidence=0.90
[FLAGGED] Executive Summary-English — Inviting Suggestion/ Objection on Adani El -> subject=Tariff Determination | instrument=Hearing Notice | status=Not Applicable | confidence=0.60
[auto-accepted] Inviting Comments on proposed amendment to the Maharashtra Electricity -> subject=Regulatory Framework & Rulemaking | instrument=Public Notice / Consultation Notice | status=Draft / Under Consultation | confidence=0.85
[auto-accepted] Petition of Adani Power Maharashtra Limited under Section 86 of the El -> subject=Tariff Determination | instrument=Hearing Notice | status=Not Applicable | confidence=0.90
[auto-accepted] Specific conditions of Distribution Licence applicable to Brihan Mumba -> subject=Licensing | instrument=Regulations | status=In Force | confidence=0.85
[auto-accepted] Verification of compliance of Renewable Purchase Obligation targets by -> subject=Renewable Energy & RPO | instrument=Order | status=In Force | confidence=0.95
[FLAGGED] Case No 82 of 20014 : Petition of Pidilite Industries Limited for Redr -> subject=Competition & Open Access | instrument=Hearing Notice | status=Not Applicable | confidence=0.72
[auto-accepted] Petition of NES Dharashiv Transmission Limited under Section 63 of the -> subject=Competition & Open Access | instrument=Hearing Notice | status=Not Applicable | confidence=0.85
[auto-accepted] Case No. 178 of 2013 : Petition filed by MSLDC for approval of Budget  -> subject=Tariff Determination | instrument=Order | status=In Force | confidence=0.85
[FLAGGED] Live Streaming Link-after hearing pdf — Review Petition of SMW ISPAT P -> subject=Competition & Open Access | instrument=Hearing Notice | status=Not Applicable | confidence=0.55
[FLAGGED] Verification and Compliance of Renewable Purchase Obligation targets f -> subject=Renewable Energy & RPO | instrument=Hearing Notice | status=Not Applicable | confidence=0.60
[auto-accepted] Daily Order 1444975867948 [Case No. 150 of 2014] -> subject=Tariff Determination | instrument=Daily Order | status=In Force | confidence=0.85
[auto-accepted] Daily Order 1500973499133 [Case No. 86 of 2016] -> subject=Competition & Open Access | instrument=Daily Order | status=In Force | confidence=0.85
[auto-accepted] Petition of M/s. Hamid Stone Crusher for Non-compliance of CGRF order  -> subject=Standards of Performance & Consumer Protection | instrument=Hearing Notice | status=Not Applicable | confidence=0.90
[auto-accepted] Postponed Notice — Petition filed by 1) Persipina Developers Pvt. Ltd. -> subject=Licensing | instrument=Hearing Notice | status=Not Applicable | confidence=0.85
[auto-accepted] Postponed-28102015-94 of 2015 -> subject=Tariff Determination | instrument=Hearing Notice | status=Not Applicable | confidence=0.85
[FLAGGED] Daily Order Case No. 11 of 2024 -> subject=Competition & Open Access | instrument=Daily Order | status=In Force | confidence=0.60
[FLAGGED] Petition under Section 86(1)(f) of the Electricity Act, 2003 pertainin -> subject=Competition & Open Access | instrument=Order | status=In Force | confidence=0.55
[auto-accepted] 18th SAC Meeting -> subject=Institutional Governance & Administration | instrument=Minutes of Meeting | status=Not Applicable | confidence=0.95
[FLAGGED] Review Petitioner of M/s. J. S. R. M. Foods (Abhinav Gopal Agrawal) se -> subject=Tariff Determination | instrument=Hearing Notice | status=Not Applicable | confidence=0.55
[FLAGGED] Petition of M/s Adani Power Maharashtra Limited for the assignment of  -> subject=Licensing | instrument=Hearing Notice | status=Not Applicable | confidence=0.60
[FLAGGED] Petition-Application for Fifth Amendment of Transmission Licence with  -> subject=Licensing | instrument=Order | status=In Force | confidence=0.55
[FLAGGED] Purchase of Power from Bagasse based Co-generation Projects and in the -> subject=Renewable Energy & RPO | instrument=Order | status=In Force | confidence=0.72
[auto-accepted] Petition of Maharashtra Airport Development Company for approval and d -> subject=Competition & Open Access | instrument=Hearing Notice | status=Not Applicable | confidence=0.85
[auto-accepted] RTI Appeal No. 07 of 2025 — Shri. Sunil Wagh -> subject=Public Information & Transparency | instrument=RTI Response / Disclosure | status=Not Applicable | confidence=0.90
[auto-accepted] Petition of M/s. Karnataka Resco Rooftop Solar Pvt. Ltd. (kresco) unde -> subject=Renewable Energy & RPO | instrument=Hearing Notice | status=Not Applicable | confidence=0.90
[auto-accepted] Daily Order 1441198937646 [Case No. 44 of 2014] -> subject=Competition & Open Access | instrument=Daily Order | status=In Force | confidence=0.95
[auto-accepted] Review Petitions filed by Associated Capsules Pvt. Ltd., Pudumjee Pulp -> subject=Tariff Determination | instrument=Order | status=In Force | confidence=0.85
[auto-accepted] RTI Application No. 51/2019 received dated 27.05.2019 — Shri Akshay Ga -> subject=Public Information & Transparency | instrument=RTI Response / Disclosure | status=Not Applicable | confidence=0.95
[auto-accepted] Petition of M/s. JSW Energy Limited for under Section 61, 86 (1) (b),  -> subject=Competition & Open Access | instrument=Hearing Notice | status=Not Applicable | confidence=0.85
[auto-accepted] Petition of Maharashtra State Electricity Distribution Company Limited -> subject=Competition & Open Access | instrument=Hearing Notice | status=Not Applicable | confidence=0.85
[auto-accepted] Daily Order 1484300999412 [Case No. 116 of 2016] -> subject=Competition & Open Access | instrument=Daily Order | status=In Force | confidence=0.85
[FLAGGED] Daily Order Case No. 142 of 2023 -> subject=Competition & Open Access | instrument=Daily Order | status=In Force | confidence=0.72
[auto-accepted] IA No. 133 of 2025 in Case No. 228 of 2025 -> subject=Tariff Determination | instrument=Daily Order | status=In Force | confidence=0.90
[auto-accepted] Application praying for urgent listing of Petition in Case No.50 of 20 -> subject=Renewable Energy & RPO | instrument=Order | status=In Force | confidence=0.85
[FLAGGED] MERC Marathi — Case No. 141 of 2024 and Case No. 142 of 2024 Inviting  -> subject=Licensing | instrument=Public Notice / Consultation Notice | status=Not Applicable | confidence=0.72
[auto-accepted] Petition of Maharashtra State Electricity Distribution Company Ltd. (M -> subject=Tariff Determination | instrument=Hearing Notice | status=Not Applicable | confidence=0.85
[auto-accepted] Misc. Application No. 10 of 2013 in Case No 23 of 2013 Application of  -> subject=Tariff Determination | instrument=Hearing Notice | status=Not Applicable | confidence=0.95
[auto-accepted] Petition of M/s Lloyds Metal & Engineers Ltd. for determination of tar -> subject=Tariff Determination | instrument=Hearing Notice | status=Not Applicable | confidence=0.95

========================================================================
OVERALL COUNTS (MERC, 100 of 20740)
========================================================================
Processed:            100
Skipped (duplicate):  0
Errored:              0
Auto-accepted:        79
Flagged for review:   21
Elapsed:              290s

--- Subject distribution ---
    27  Tariff Determination
    27  Competition & Open Access
    17  Renewable Energy & RPO
     9  Standards of Performance & Consumer Protection
     9  Licensing
     8  Public Information & Transparency
     2  Institutional Governance & Administration
     1  Regulatory Framework & Rulemaking

--- Instrument Type distribution ---
    43  Hearing Notice
    25  Order
    14  Daily Order
     8  RTI Response / Disclosure
     5  Public Notice / Consultation Notice
     2  Regulations
     1  Press Release
     1  Report
     1  Minutes of Meeting

--- Status distribution ---
    57  Not Applicable
    42  In Force
     1  Draft / Under Consultation

--- review reasons ---
    21  low_confidence
     7  text_extraction_failed
